row_number,reasons,CALL_NO,CALL_TYPE,Priority,UNIT,LOCATION_ADDRESS,BEAT,Created Date,Time,Closed Date
267982,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
268029,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
268030,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
268077,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
268078,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
268125,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
268126,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
268172,'LOCATION_ADDRESS' garbled/scrambled text,172170250 TRAFFIC STOP-S,,5,C115,"KIETZKE LN/GALLETTI WY, SPK",S5,08/05/2017,050206 055348,08/05/2017
268173,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
268174,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
268175,'LOCATION_ADDRESS' garbled/scrambled text,172170250,TRAFFIC STOP-S,5,C115,"KIETZKE LN/GALLETTI WY, SPK",S5,08/05/2017,050206 055348,08/05/2017
268176,'LOCATION_ADDRESS' garbled/scrambled text,172170250,TRAFFIC STOP-S,5,C115,"KIETZKE LN/GALLETTI WY, SPK",S5,08/05/2017,050206 055348,08/05/2017
268177,'LOCATION_ADDRESS' garbled/scrambled text,172170250,TRAFFIC STOP-S,5,C115,"KIETZKE LN/GALLETTI WY, SPK",S5,08/05/2017,050206 055348,08/05/2017
268202,"'BEAT' expected text, has number; 'LOCATION_ADDRESS' garbled/scrambled text",172170305,TRAFFIC STOP-S,5,2M14,"N MCCARRAN BL/WEDEKIND RD, SPKS",1,08/05/2017,065301 065725,08/05/2017
268221,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
268222,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
268230,"'BEAT' expected text, has number; 'LOCATION_ADDRESS' garbled/scrambled text",172170364 TRAFFIC STOP-S,,5,2M14,"N MCCARRAN BL/WEDEKIND RD, SPKS",1,08/05/2017,082809 083518,08/05/2017
268269,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
