row_number,reasons,CALL_NO,CALL_TYPE,Priority,UNIT,LOCATION_ADDRESS,BEAT,Created Date,Time,Closed Date
1236627,"'BEAT' expected text, has number",231780971,TRAFFIC STOP-S,5,A743,"E GLENDALE AV/S MCCARRAN BL, SPS",6,06/27/2023,162946 183427,06/27/2023
1236628,"'BEAT' expected text, has number",231780971,TRAFFIC STOP-S,5,A743,"E GLENDALE AV/S MCCARRAN BL, SPS",6,06/27/2023,162946 183427,06/27/2023
1236669,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1236670,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1236717,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1236718,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1236765,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1236766,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1236812,"'BEAT' expected text, has number",231790021 BUSINESS CK-S,,5,131,"1100 NUGGET AV, SPK",51,06/28/2023,003225 005351,06/28/2023
1236813,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1236814,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1236861,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1236862,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1236909,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1236910,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1236929,'LOCATION_ADDRESS' garbled/scrambled text,231790444 TRAFFIC STOP-S,,5,2T2,"GIANNOTTI DR/VISTA BL, SPK",S4,06/28/2023,103829 104620,06/28/2023
1236957,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1236958,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237005,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237006,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237040,"'BEAT' expected text, has number",231790777,TRAFFIC STOP-S,5,2T2,E LINCOLN WY/MARINA GATEWAY DRS,6,06/28/2023,142053 142828,06/28/2023
1237042,"'BEAT' expected text, has number",231790780,TRAFFIC STOP-S,5,2M2,E LINCOLN WY/MARINA GATEWAY DRS,6,06/28/2023,142252 143015,06/28/2023
1237053,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237054,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237067,"'BEAT' expected text, has number",231790858 TRAFFIC STOP-S,,5,2T2,E LINCOLN WY/MARINA GATEWAY DRS,6,06/28/2023,150617 151955,06/28/2023
1237068,"'BEAT' expected text, has number",231790858 TRAFFIC STOP-S,,5,2T2,E LINCOLN WY/MARINA GATEWAY DRS,6,06/28/2023,150617 151955,06/28/2023
1237101,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237102,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237149,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237150,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237197,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237198,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237223,"'BEAT' expected text, has number",231791381 TRAFFIC STOP-S,,5,M10,"DESERT FOX DR/BAREBACK DR, SPKS",2,06/28/2023,231454 231915,06/28/2023
1237245,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237246,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237293,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237294,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237341,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237342,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237387,"'BEAT' expected text, has number",231800367 PARKING PROBLEM,,9,702,"2200 BLK ODDIE BL, SPK",48,06/29/2023,095932 100554,06/29/2023
1237389,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237390,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237437,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237438,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237455,"'BEAT' expected text, has number; 'LOCATION_ADDRESS' garbled/scrambled text",231800573 TRAFFIC STOP-S,,5,211,"N MCCARRAN BL/WEDEKIND RD, SPKS",1,06/29/2023,123805 130820,06/29/2023
1237456,"'BEAT' expected text, has number; 'LOCATION_ADDRESS' garbled/scrambled text",231800573 TRAFFIC STOP-S,,5,211,"N MCCARRAN BL/WEDEKIND RD, SPKS",1,06/29/2023,123805 130820,06/29/2023
1237485,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237486,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237533,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237534,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237545,'LOCATION_ADDRESS' garbled/scrambled text,231800795,HOPE TEAM-S,3,702,"SPANDRELL CI/MADRID DR, SPK",S2,06/29/2023,151436 082824,06/30/2023
1237574,"'BEAT' expected text, has number; 'LOCATION_ADDRESS' garbled/scrambled text",231800883,TRAFFIC STOP-S,5,M20,"PYRAMID WY/STONEBROOK PW, SPKS",2,06/29/2023,161812 164344,06/29/2023
1237581,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237582,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237629,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237630,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237677,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237678,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237684,"'BEAT' expected text, has number",231801215 TRAFFIC STOP-S,,5,6K94,"BATTLE BORN WY/GALLETTI WY, SPKS",5,06/29/2023,204345 211514,06/29/2023
1237685,"'BEAT' expected text, has number",231801215 TRAFFIC STOP-S,,5,6K94,"BATTLE BORN WY/GALLETTI WY, SPKS",5,06/29/2023,204345 211514,06/29/2023
1237725,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237726,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237773,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237774,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237821,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237822,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237869,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237870,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237917,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237918,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1237965,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1237966,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238013,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238014,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238061,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238062,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238083,'LOCATION_ADDRESS' garbled/scrambled text,231810917 ACC EXTRCATION-S,,1,393,"KIETZKE LN/GALLETTI WY, SPK",S5,06/30/2023,163112 180129,06/30/2023
1238084,'LOCATION_ADDRESS' garbled/scrambled text,231810917 ACC EXTRCATION-S,,1,393,"KIETZKE LN/GALLETTI WY, SPK",S5,06/30/2023,163112 180129,06/30/2023
1238085,'LOCATION_ADDRESS' garbled/scrambled text,231810917 ACC EXTRCATION-S,,1,393,"KIETZKE LN/GALLETTI WY, SPK",S5,06/30/2023,163112 180129,06/30/2023
1238086,'LOCATION_ADDRESS' garbled/scrambled text,231810917 ACC EXTRCATION-S,,1,393,"KIETZKE LN/GALLETTI WY, SPK",S5,06/30/2023,163112 180129,06/30/2023
1238087,'LOCATION_ADDRESS' garbled/scrambled text,231810917 ACC EXTRCATION-S,,1,393,"KIETZKE LN/GALLETTI WY, SPK",S5,06/30/2023,163112 180129,06/30/2023
1238089,'LOCATION_ADDRESS' garbled/scrambled text,231810929 911 CELLHANGUP-S,,5,,"KIETZKE LN/GALLETTI WY, SPK",,06/30/2023,164406 164424,06/30/2023
1238090,'LOCATION_ADDRESS' garbled/scrambled text,231810932 911 CELLHANGUP-S,,5,,"KIETZKE LN/GALLETTI WY, SPK",,06/30/2023,164431 164451,06/30/2023
1238109,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238110,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238157,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238158,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238173,'LOCATION_ADDRESS' garbled/scrambled text,231811214 TRAFFIC STOP-S,,5,6K94,"OCALLAGHAN DR/SPARKS BL, SPK",S6,06/30/2023,202933 203825,06/30/2023
1238205,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238206,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238253,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238254,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238301,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238302,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238349,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238350,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238397,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238398,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238445,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238446,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238493,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238494,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238541,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238542,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238589,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238590,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238637,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238638,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238685,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238686,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238733,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238734,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238781,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238782,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238829,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238830,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238877,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238878,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238925,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238926,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1238973,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1238974,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1239021,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1239022,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1239053,"'BEAT' expected text, has number",231831052 ACC NON INJ-S,,2,321,"FULL MOON WY/RUSTY OWL DR, SPKS",2,07/02/2023,193149 202328,07/02/2023
1239054,"'BEAT' expected text, has number",231831052 ACC NON INJ-S,,2,321,"FULL MOON WY/RUSTY OWL DR, SPKS",2,07/02/2023,193149 202328,07/02/2023
1239069,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1239070,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1239117,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1239118,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1239165,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1239166,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1239213,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1239214,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1239261,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1239262,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1239309,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
