call_id,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P170162497,10/7/2017 0:00,1525,380,WINSLOW WAY E,122507500,23253200,MVCB
P170164383,10/11/2017 0:00,0329,4192,NE EAGLE HARBOR DR,122699495,22888296,PC4
P170164384,10/11/2017 0:00,0331,4001,POINT WHITE DR NE,121488258,22407189,PC4
P170164390,10/11/2017 0:00,0409,13113,MANZANITA RD NE,121484888,25337153,PC4
P170162742,10/8/2017 0:00,0152,354,WINSLOW WAY E,122505373,23246897,PC4
P170164463,10/11/2017 0:00,0931,,NE BUSINESS PARK LN / SPORTSMAN CLUB RD NE,122322363,24094833,T
P170169870,10/20/2017 0:00,2204,7950,FOREST RIDGE DR NE,119862240,23688747,UNKNO3
P170168243,10/17/2017 0:00,2252,4569,LYNWOOD CENTER RD NE,121750893,22509195,SUSPI3
P170168300,10/18/2017 0:00,0328,625,WINSLOW WAY E,122607645,23236096,MISC3
P170168321,10/18/2017 0:00,0620,293,WINSLOW WAY E,122492626,23247536,PC4
P170168341,10/18/2017 0:00,0757,9500-BLK,SPORTSMAN CLUB RD NE,122354106,24174958,T
P170167137,10/16/2017 0:00,1024,190,MADISON AVE N,122440545,23277797,MVC4
P170140854,8/31/2017 0:00,0239,641,WINSLOW WAY E,122607638,23245222,PC4
P170143080,9/3/2017 0:00,1832,15446,SUNRISE DR NE,122763796,26092302,PC4
P170143177,9/3/2017 0:00,2051,7750,YEOMALT PL NE,123114496,23560897,PROWL4
P170143206,9/3/2017 0:00,2125,9403,CAPSTAN DR NE,122185644,23727197,ALSP
P170140927,8/31/2017 0:00,0825,9900,NE PINE ST,122528745,22592745,THEFT4
P170164476,10/11/2017 0:00,0954,,NORTH MADISON AVE NE / SPORTSMAN CLUB RD NE,122395381,24298435,T
P170162751,10/8/2017 0:00,0225,8588,NE HIDDEN COVE RD,122175544,25815402,PC4
P170164678,10/11/2017 0:00,1600,635,HIGH SCHOOL RD NE,122615945,23616547,SEXOF4
P170162847,10/8/2017 0:00,1005,9624,SPORTSMAN CLUB RD NE,122373345,24193248,ASSIS3
P170164978,10/12/2017 0:00,0900,8521,MADISON AVE N,122388295,23738847,T
P170162857,10/8/2017 0:00,1023,2000,BEANS BIGHT RD NE,123046346,21627293,SUSPI4
P170169198,10/19/2017 0:00,1639,9551,NE NEW BROOKLYN RD,122429500,23912200,VERBA4
P170169247,10/19/2017 0:00,1818,151,WINSLOW WAY E,122441445,23243747,ALRA
P170169315,10/19/2017 0:00,2106,7562,NE HIGH SCHOOL RD,121771717,23667978,PC4
P170169402,10/20/2017 0:00,0142,15211,ALMA PL NE,121565660,26047164,PC4
P170169646,10/20/2017 0:00,1433,,NE BUSINESS PARK LN / SPORTSMAN CLUB RD NE,122322363,24094833,T
P170169654,10/20/2017 0:00,1451,7912,GRAND AVE NE,122975946,23644947,WIRESU
P170168484,10/18/2017 0:00,1241,,NE SEABOLD RD / STATE HWY 305 NE,121590942,26041592,ASSIS4
P170168595,10/18/2017 0:00,1530,12958,STATE HWY 305 NE,121985865,25301802,PC4
P170170402,10/22/2017 0:00,0331,669,WINSLOW WAY E,122614775,23245006,PC4
P170170462,10/22/2017 0:00,0906,,NE NEW BROOKLYN RD / THREE TREE LN NE,122396923,23913451,T
P170168697,10/18/2017 0:00,1756,125,FERNCLIFF AVE NE,122684528,23256542,ALRA
P170168667,10/18/2017 0:00,1722,8121,HIGH SCHOOL LOOP NE,121935694,23688897,CUSTO4
P170143327,9/4/2017 0:00,0259,11299,ARROW POINT DR NE,121095342,24676599,PC4
P170140980,8/31/2017 0:00,1004,3905,EL CIMO LN NE,121283593,22246695,SUSPI3
P170143516,9/4/2017 0:00,1207,7200-BLK,NE BAKER HILL RD,121628173,22609272,T
P170143581,9/4/2017 0:00,1412,,BATTLE POINT DR NE / MILLER RD NE,121350570,24127016,T
P170141002,8/31/2017 0:00,1046,,NE DAY RD W / NE HIDDEN COVE RD,121954383,25351877,CELL
P170141178,8/31/2017 0:00,1557,260,OLYMPIC DR SE,122654095,23198096,PC4
P170169703,10/20/2017 0:00,1614,,GROW AVE NW / WYATT WAY NW,122332496,23385509,RECKL3
P170169795,10/20/2017 0:00,1902,336,ROOT PATH NW,122357746,23377240,PROWL3
P170169890,10/20/2017 0:00,2239,625,WINSLOW WAY E,122607645,23236096,WRT4
P170169983,10/21/2017 0:00,0543,860,GILMORE WAY NE,122676545,23316947,THREA4
P170170032,10/21/2017 0:00,1032,499,OLYMPIC DR SE,122674000,23182900,WC911
P170167814,10/17/2017 0:00,1102,743,CHERRY AVE NE,122958571,23461868,FU
P170168796,10/18/2017 0:00,2051,6677,NE NEW BROOKLYN RD,121472437,23935507,PC4
