call_id,agency,actdate,acttime,geox,geoy,streetnbr,street,naturecode
P050002322,BIPD,1/5/2005 0:00,1709,373698391,70849225,625,WINSLOW WY E,FI
P050002331,BIPD,1/5/2005 0:00,1726,372953128,78523247,,NE HIDDEN COVE RD / PHELPS RD NE,T
P050002351,BIPD,1/5/2005 0:00,1758,371066568,78207718,,NE HIDDEN COVE RD / STATE HY 305 NE,T
P050004312,BIPD,1/9/2005 0:00,1935,373479612,71697058,920,HILDEBRAND LN NE,OPEN3
P050004351,BIPD,1/9/2005 0:00,2045,372869683,72056273,1299,GROW AV NW,PC3
P050002800,BIPD,1/6/2005 0:00,1709,373060315,72080318,225,NE HIGH SCHOOL RD,DV3
P050000283,BIPD,1/1/2005 0:00,1508,370529206,79640777,,AGATEWOOD RD NE / STATE HY 305 NE,T
P050002915,BIPD,1/6/2005 0:00,2134,373459370,70853128,,BJUNE DR SE / WINSLOW WY E,T
P050002937,BIPD,1/6/2005 0:00,2223,370963332,78369484,,NE MANUAL RD / STATE HY 305 NE,T
P050003111,BIPD,1/7/2005 0:00,1026,373164917,71076097,280,MADISON AV N,FI
P050003116,BIPD,1/7/2005 0:00,1046,373698391,70849225,625,WINSLOW WY E,MVC4
P050000570,BIPD,1/2/2005 0:00,0023,370522774,78978532,,KOMEDAL RD NE / NE SEABOLD CHURCH RD,T
P050003559,BIPD,1/8/2005 0:00,0126,373945366,72031034,823,HIGH SCHOOL RD NE,VEHIT4
P050000461,BIPD,1/1/2005 0:00,2054,369245799,72772937,5579,NE FOSTER RD,SFR
P050000269,BIPD,1/1/2005 0:00,1412,372731463,73257346,9125,SPORTSMAN CLUB RD NE,MALIC3
P050000237,BIPD,1/1/2005 0:00,1220,370139935,74174573,,HIGH SCHOOL / MADISON,T
P050003558,BIPD,1/8/2005 0:00,0125,373611587,71266285,,STATE HY 305 NE / VINEYARD LN,T
P050003567,BIPD,1/8/2005 0:00,0146,373713088,71948830,635,HIGH SCHOOL RD NE,FI
P050000913,BIPD,1/2/2005 0:00,2025,373590403,72068878,,NE HIGH SCHOOL RD / STATE HY 305 NE,T
P050003694,BIPD,1/8/2005 0:00,1148,370326666,72148397,,FLETCHER BAY RD NE / NE HIGH SCHOOL RD,MVC3
P050004095,BIPD,1/9/2005 0:00,0859,375047308,70791428,11000,NE WING POINT DR,ASSIS4
P050000868,BIPD,1/2/2005 0:00,1819,373058406,74099172,,SPORTSMAN CLUB RD NE / STATE HY 305 NE,T
P050000260,BIPD,1/1/2005 0:00,1400,370096816,68924866,,NE BAKER HILL RD / ISLAND AV NE,T
P050000231,BIPD,1/1/2005 0:00,1201,372006202,72926814,8477,NE NEW BROOKLYN RD,PC4
P050000171,BIPD,1/1/2005 0:00,0820,374246129,74531356,10488,FALK RD NE,FU
P050003193,BIPD,1/7/2005 0:00,1356,373048845,70870892,221,WINSLOW WY W,WC911
P050003329,BIPD,1/7/2005 0:00,1802,369236173,75606554,11299,ARROW POINT DR NE,T
P050003432,BIPD,1/7/2005 0:00,2136,372883664,72086620,,GROW AV NW / NE HIGH SCHOOL RD,T
P050003177,BIPD,1/7/2005 0:00,1310,373287280,76904551,,NE DAY RD E / N MADISON AV NE,T
P050000232,BIPD,1/1/2005 0:00,1205,373590403,72068878,,NE HIGH SCHOOL RD / STATE HY 305 NE,T
P050000215,BIPD,1/1/2005 0:00,1057,374142219,79435104,15325,SUNRISE DR NE,WC911
P050003250,BIPD,1/7/2005 0:00,1541,372883664,72086620,,GROW AV NW / NE HIGH SCHOOL RD,T
P050000187,BIPD,1/1/2005 0:00,0914,375047308,70791428,11000,NE WING POINT DR,ASSIS4
P050003436,BIPD,1/7/2005 0:00,2142,371936193,76953219,,NE DAY RD E / STATE HY 305 NE,T
P050004362,BIPD,1/9/2005 0:00,2107,373159111,70865790,,MADISON AV N / WINSLOW WY E,T
P050002323,BIPD,1/5/2005 0:00,1710,373698391,70849225,625,WINSLOW WY E,FU
P050002482,BIPD,1/5/2005 0:00,2224,371159750,68889088,4759,LYNWOOD CENTER RD NE,CUSTO4
P050002622,BIPD,1/6/2005 0:00,1043,373512416,70852218,465,WINSLOW WY E,WRT4
P050002677,BIPD,1/6/2005 0:00,1248,369920520,72956565,,FLETCHER BAY RD NE / NE NEW BROOKLYN RD,T
P050002711,BIPD,1/6/2005 0:00,1412,364686433,83149803,,NE HOSTMARK ST / STATE HY 305 NE,RECKL3
P050000224,BIPD,1/1/2005 0:00,1138,371066568,78207718,,NE HIDDEN COVE RD / STATE HY 305 NE,T
P050000222,BIPD,1/1/2005 0:00,1133,370139935,74174573,10000,MILLER RD NE,T
