call_id,agency,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P09000319B5IPD,,1/6/2009 0:00,1603,6586,NE MAXWELL LN,121429302,24068903,FU
P09000328B0IPD,,1/6/2009 0:00,1827,8895,MADISON AVE,122433367,23949842,FU
P09000452B8IPD,,1/8/2009 0:00,2247,13066,PHELPS RD NE,122062863,25339795,MVC3
P09000236B1IPD,,1/5/2009 0:00,0639,,NE BUCKLIN HILL RD / NE EAGLE HARBOR DR,121966131,23304962,PC3
P09000267B0IPD,,1/5/2009 0:00,1638,2350,TOE JAM HILL RD NE,122754085,21798862,TRAFF3
P09000297B3IPD,,1/6/2009 0:00,0951,,HIGH SCHOOL RD NE / HILDEBRAND LN NE,122535496,23644973,PC3
P09000300B5IPD,,1/6/2009 0:00,1047,,MADISON AVE S / PARFITT WAY SW,122425441,23164008,NOISE4
P09000510B2IPD,,1/9/2009 0:00,2245,280,MADISON AVE N,122428721,23304765,FI
P09000464B7IPD,,1/9/2009 0:00,0704,,NORTH TOWN DR NE / SPORTSMAN CLUB RD NE,122294142,24024195,T
P09000465B2IPD,,1/9/2009 0:00,0742,,NE BUSINESS PARK LN / SPORTSMAN CLUB RD NE,122322118,24094785,T
P09000465B4IPD,,1/9/2009 0:00,0748,,N MADISON AVE NE / STATE HWY 305 NE,122395136,24298387,T
P09000466B6IPD,,1/9/2009 0:00,0826,,N MADISON AVE NE / MANITOU BEACH DR NE,122430015,24309046,T
P09000225B8IPD,,1/4/2009 0:00,2322,,NE GRIZDALE LN / NE NEW BROOKLYN RD,122112497,23923755,TRAFF3
P09000470B1IPD,,1/9/2009 0:00,0939,11954,MILLER RD NE,121742009,24989448,HARAS4
P09000251B9IPD,,1/5/2009 0:00,1220,,AGATEWOOD RD NE / STATE HWY 305 NE,121562025,26138320,MVC3
P09000255B2IPD,,1/5/2009 0:00,1310,380,WINSLOW WAY E,122518212,23251620,UNWAN3
P09000432B4IPD,,1/8/2009 0:00,1509,6701,NE DAY RD W,121483743,25260562,THEFT4
P09000283B9IPD,,1/6/2009 0:00,0047,,NE DAY RD E / STATE HWY 305 NE,122023402,25247379,T
P09000300B1IPD,,1/6/2009 0:00,1038,9310,SANDS AVE NE,121916557,24066040,WIRESF
P09000307B7IPD,,1/6/2009 0:00,1240,,FERNCLIFF AVE NE / HIGH SCHOOL RD NE,122700327,23641703,WIRESF
P09000340B0IPD,,1/6/2009 0:00,2235,,NE HIGH SCHOOL RD / WEAVER AVE NW,122172525,23657280,TRAFF3
P09000371B6IPD,,1/7/2009 0:00,1358,10788,NE SEABORN RD,122747202,22255644,WIRESU
P09000383B8IPD,,1/7/2009 0:00,1740,,NE BEACH CREST DR / N MADISON AVE NE,122452795,24439432,WIRESU
P09000394B5IPD,,1/7/2009 0:00,2226,386,WEAVER AVE NW,122167304,23353101,PC3
P09000147B5IPD,,1/3/2009 0:00,1735,301,HIGH SCHOOL RD NE,122491536,23645882,LIQUO4
P09000409B9IPD,,1/8/2009 0:00,0811,625,WINSLOW WAY E,122603318,23237267,FU
P09000498B5IPD,,1/9/2009 0:00,1825,,HIGH SCHOOL RD NE / HILDEBRAND LN NE,122535496,23644973,T
P09000274B3IPD,,1/5/2009 0:00,1904,,MANITOU BEACH DR NE / MOUNTAIN VIEW RD NE,122853734,24652968,SUSPI4
