Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Medical,,Medical Assistance Rendered,No,,121 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,19:42,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,Threats,,Report,Yes,,30 BRIARWOOD LN Apt. #6,Marlborough,,,Marlborough PD,,20:25,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,911 Hangup/Call,,Services Rendered- PD,No,,65 NEWTON ST,Marlborough,,,Marlborough PD,,20:34,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,ASSIST CITIZEN,,Report,Yes,,27 GLEASON ST,Marlborough,,,Marlborough PD,,20:41,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,Well being check,,Services Rendered- PD,No,,52 LINCOLN ST,Marlborough,,,Marlborough PD,,20:53,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,911 Hangup/Call,,Services Rendered- PD,No,,509 LINCOLN ST Apt. #12,Marlborough,,,Marlborough PD,,21:28,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,HARASSMENT ORDER/SERVED,,Services Rendered- PD,No,,81 MCNEIL CIR,Marlborough,,,Marlborough PD,,22:09,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,Threats,,Report,Yes,,43 CURTIS AVE Apt. #E,Marlborough,,,Marlborough PD,,22:19,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,DISTURBANCE,,Services Rendered- PD,No,,34 CENTRAL ST Apt. #E,Marlborough,,,Marlborough PD,,00:09,,,09/08/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,681 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,01:00,,,09/08/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,Ambulance Assist,,Report,Yes,,73 BOLTON ST,Marlborough,,,Marlborough PD,,01:21,,,09/08/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,7
,,Medical,,Medical Assistance Rendered,No,,73 BOLTON ST,Marlborough,,,Marlborough PD,,01:23,,,09/08/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,7
,,Threats,,Arrest(s) Made,Yes,22-312-AR,11 CONVENIENCE STORE - 92 BROAD ST,Marlborough,,,Marlborough PD,,03:56,,,09/08/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,7
,,ASSIST CITIZEN,,Services Rendered- PD,No,,406 LINCOLN ST,Marlborough,,,Marlborough PD,,04:30,,,09/08/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,7
,,Medical,,Transported to Hospital,No,,406 LINCOLN ST,Marlborough,,,Marlborough PD,,04:42,,,09/08/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,7
,,Directed Patrol,,Report,Yes,,CHURCH ST,Marlborough,,,Marlborough PD,,06:39,,,09/08/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,7
,,Motor vehicle accident I,,Services Rendered- FD,No,,200 CONCORD RD,Marlborough,,,Marlborough PD,,06:49,,,09/08/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,7
,,MVA WITH INJURIES,,Report,Yes,,200 CONCORD RD Apt. #B,Marlborough,,,Marlborough PD,,06:49,,,09/08/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,7
,,MOTOR VEHICLE STOP,,Services Rendered- PD,No,,114 EAST MAIN ST,Marlborough,,,Marlborough PD,,07:25,,,09/08/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,7
,,Medical,,Medical Assistance Rendered,No,,121 NORTHBORO ROAD EAST Apt. #130,Marlborough,,,Marlborough PD,,07:43,,,09/08/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,7
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,PRENDEVILLE WAY,Marlborough,,,Marlborough PD,,07:47,,,09/08/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,7
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,25 UNION ST,Marlborough,,,Marlborough PD,,07:49,,,09/08/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,7
,,SUSPICIOUS ACTIVITY,,Report,Yes,,9 ROYAL CREST DR Apt. #6,Marlborough,,,Marlborough PD,,08:10,,,09/08/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,7
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:48,,,09/08/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,7
