Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,DISTURBANCE,,Report,Yes,,121 NORTHBORO ROAD EAST Apt. #110E,Marlborough,,,Marlborough PD,,21:04,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,Parking Violation,,Services Rendered- PD,No,,2 SILVER ST Apt. #APT4,Marlborough,,,Marlborough PD,,21:18,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,Suspicious M/V,,Unfounded,No,,105 BRIGHAM ST @ 9 DESIMONE DR,Marlborough,,,Marlborough PD,,21:20,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,FOUND/LOST PROPERTY,,Report,Yes,,57 ORCHARD ST,Marlborough,,,Marlborough PD,,21:27,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,Suspicious M/V,,Unfounded,No,,520 FARM RD,Marlborough,,,Marlborough PD,,21:42,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,DISTURBANCE,,Unfounded,No,,164 HOSMER ST,Marlborough,,,Marlborough PD,,22:04,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,Eratic Operator,,Unfounded,No,,SOUTH ST,Marlborough,,,Marlborough PD,,22:50,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,Suspicious M/V,,Report,Yes,,237 CONCORD RD,Marlborough,,,Marlborough PD,,00:46,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,431 BOLTON ST,Marlborough,,,Marlborough PD,,00:59,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,"ALARM, BURGLAR",,No Action Required,No,,431 BOLTON ST,Marlborough,,,Marlborough PD,,01:00,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,DISABLED MV,,Services Rendered- PD,No,,484 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,01:34,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,DISABLED MV,,No Action Required,No,,169 LAKESIDE AVE @ 643 LINCOLN ST,Marlborough,,,Marlborough PD,,01:40,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,Animal Complaint,,Unfounded,No,,45 LIBERTY ST,Marlborough,,,Marlborough PD,,02:47,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,76 O'GRADY RD,Marlborough,,,Marlborough PD,,06:15,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,Medical,,Services Rendered- FD,No,,36 KEVORK AVE,Marlborough,,,Marlborough PD,,06:24,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,36 KEVORK AVE,Marlborough,,,Marlborough PD,,06:25,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,5
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,247 MAPLE ST,Marlborough,,,Marlborough PD,,07:02,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,5
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,10 GREENWOOD ST @ 126 MAPLE ST,Marlborough,,,Marlborough PD,,08:26,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,5
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,525 BOSTON POST ROAD EAST Apt. #A,Marlborough,,,Marlborough PD,,08:34,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,5
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,08:39,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,5
,,Medical,,Medical Assistance Rendered,No,,370 HEMENWAY ST Apt. #404,Marlborough,,,Marlborough PD,,08:39,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,5
,,Eratic Operator,,Report,Yes,,114 EAST MAIN ST @ 5 LINCOLN ST,Marlborough,,,Marlborough PD,,08:40,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,5
,,Medical,,Medical Assistance Rendered,No,,234 PLEASANT ST,Marlborough,,,Marlborough PD,,08:42,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,5
,,Eratic Operator,,Arrest(s) Made,Yes,22-371-AR,MAPLE ST,Marlborough,,,Marlborough PD,,08:45,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,5
,,Medical,,Medical Assistance Rendered,No,,121 NORTHBORO ROAD EAST Apt. #132,Marlborough,,,Marlborough PD,,10:20,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,5
,,Fraud / Forgery,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,10:27,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,5
,,Well being check,,Services Rendered- PD,No,,30 BRIARWOOD LN Apt. #11,Marlborough,,,Marlborough PD,,11:27,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,5
,,Trespassing,,Services Rendered- PD,No,,59 GIBBONS ST Apt. #APT2,Marlborough,,,Marlborough PD,,11:42,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,5
,,DISTURBANCE,,Report,Yes,,109A BROADMEADOW RD Apt. #1,Marlborough,,,Marlborough PD,,11:55,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,5
,,Medical,,Medical Assistance Rendered,No,,215 MAPLE ST,Marlborough,,,Marlborough PD,,12:04,,,11/01/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,5
