Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Well being check,,Services Rendered- PD,No,,29 SOUTH BOLTON ST @ 80 GRANGER BLVD,Marlborough,,,Marlborough PD,,13:41,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,DISABLED MV,,Services Rendered- PD,No,,815 FARM RD @ 529 BOSTON POST RD E,Marlborough,,,Marlborough PD,,13:43,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,Well being check,,Services Rendered- PD,No,,1 CADILLAC DR,Marlborough,,,Marlborough PD,,13:57,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,Ambulance Assist,,Services Rendered- PD,No,,30 BRIARWOOD LN Apt. #11,Marlborough,,,Marlborough PD,,14:16,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,Medical,,Medical Assistance Rendered,No,,30 BRIARWOOD LN Apt. #11,Marlborough,,,Marlborough PD,,14:17,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,27 BLAKE CIR,Marlborough,,,Marlborough PD,,14:19,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,DISTURBANCE,,Services Rendered- PD,No,,29 PLEASANT ST,Marlborough,,,Marlborough PD,,14:46,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,269 EAST MAIN ST,Marlborough,,,Marlborough PD,,14:54,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,Harassment,,Report,Yes,,276 MAIN ST,Marlborough,,,Marlborough PD,,15:01,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,DISABLED MV,,Services Rendered- PD,No,,5 PLEASANT ST @ 123 WEST MAIN ST,Marlborough,,,Marlborough PD,,15:18,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,ANNOYING PHONE CALLS,,No Action Required,No,,8 BRIDGE ST,Marlborough,,,Marlborough PD,,16:10,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,Parking Violation,,Services Rendered- PD,No,,280 MAIN ST,Marlborough,,,Marlborough PD,,16:14,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,Well being check,,Unfounded,No,,132 HOSMER ST @ 1 ROYAL CREST DR,Marlborough,,,Marlborough PD,,16:18,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,Medical,,Transported to Hospital,No,,40 BEAUDRY ST,Marlborough,,,Marlborough PD,,17:06,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,Ambulance Assist,,Services Rendered- PD,No,,40 BEAUDRY ST,Marlborough,,,Marlborough PD,,17:06,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,Ambulance Assist,,Services Rendered- PD,No,,120 EDINBORO ST,Marlborough,,,Marlborough PD,,18:00,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
